,Molregno IDs having no smiles
1429,2255135
1430,297255
1431,1296680
1432,2255136
1433,870698
1434,2255138
1435,2255139
1436,18733
1437,18734
1438,608558
1439,608559
1440,608560
1441,2255145
1442,1304883
1443,2255147
1444,2255148
1445,1313078
1446,2255150
1447,1050936
1448,1050937
1449,2255153
1450,2255154
1451,2255155
1452,51517
1453,2255157
1454,2255158
1455,2255159
1456,1304897
1457,108866
1458,2255162
1459,2255163
1460,108869
1461,1288518
1462,2255166
1463,2255167
1464,2255168
1465,2255169
1466,2255170
1467,2255171
1468,2255172
1469,248142
1470,248143
1471,2255175
1472,2255176
1473,248146
1474,2255178
1475,2255179
1476,2255180
1477,2255181
1478,1229784
1479,2255183
1480,2255184
1481,2255185
1482,2255186
1483,1304924
1484,2255188
1485,2255189
1486,2255190
1487,2255191
1488,2255192
1489,1313122
1490,1313123
1491,2255195
1492,2255196
1493,108902
1494,108903
1495,2255199
1496,2255200
1497,2255201
1498,2255202
1499,2255203
1500,2255204
1501,2255205
1502,1313135
1503,2255207
1504,51569
1505,2255209
1506,2255210
1507,2255211
1508,2255212
1509,1321334
1510,2255214
1511,2255215
1512,2255216
1513,2255217
1514,1296763
1515,313723
1516,2255220
1517,1780094
1518,2255222
1519,2255223
1520,2255224
1521,2255225
1522,2255226
1523,2255227
1524,2255228
1525,2255229
1526,2255230
1527,2255231
1528,1296777
1529,2255242
1530,2255243
1531,2255244
1532,2255245
1533,2255246
1534,1296783
1535,2255239
1536,2255240
1537,2255248
1538,297363
1539,297364
1540,108949
1541,297365
1542,2255253
1543,2255254
1544,967653
1545,919962
1546,2255259
1547,2255260
1548,1313181
1549,2255262
1550,2255263
1551,1304992
1552,2255264
1553,2255265
1554,2255266
1555,2255267
1556,2255268
1557,2255269
1558,2255270
1559,731560
1560,2255271
1561,2255272
1562,2255273
1563,2255274
1564,1296813
1565,936363
1566,993707
1567,297392
1568,297393
1569,297394
1570,1296819
1571,182707
1572,1010098
1573,35257
1574,1092038
1575,182730
1576,182731
1577,1288652
1578,68045
1579,231886
1580,231885
1581,1288659
1582,1321429
1583,231708
1584,2173399
1585,1362409
1586,182769
1587,1362418
1588,1362419
1589,1313268
1590,1362420
1591,1362421
1592,1362423
1593,1362424
1594,1362422
1595,1321467
1596,1313276
1597,1362428
1598,1362431
1599,1362432
1600,1362435
1601,1288709
1602,1305095
1603,1313289
1604,1321482
1605,1362441
1606,1305100
1607,1321485
1608,1362442
1609,1362448
1610,1313301
1611,223767
1612,109081
1613,739871
1614,744613
1615,1313316
1616,1313317
1617,1362468
1618,1321511
1619,1362469
1620,1296937
1621,1313324
1622,18989
1623,1288753
1624,1362483
1625,248375
1626,1362487
1627,1362488
1628,297530
1629,870971
1630,1362493
1631,1362494
1632,1288771
1633,1305155
1634,297539
1635,297546
1636,830030
1637,674382
1638,19025
1639,1591892
1640,1313367
1641,1313371
1642,1288800
1643,1362528
1644,1362529
1645,1305187
1646,1296997
1647,1288807
1648,1288810
1649,297593
1650,993915
1651,1305212
1652,1321596
1653,780926
1654,1108608
1655,1288839
1656,174734
1657,174735
1658,174736
1659,1362575
1660,1362576
1661,1362579
1662,1305237
1663,1362581
1664,835817
1665,1288859
1666,1297057
1667,903844
1668,1297064
1669,1362605
1670,674479
1671,174769
1672,1297075
1673,1084084
1674,1288885
1675,1313462
1676,2130261
1677,1288888
1678,303395
1679,821947
1680,303396
1681,1321663
1682,297664
1683,1321666
1684,780996
1685,1305287
1686,1305295
1687,1968848
1688,1968850
1689,1362644
1690,1968852
1691,1313495
1692,2124504
1693,297689
1694,1362655
1695,1297124
1696,1288936
1697,2108139
1698,297711
1699,297712
1700,297713
1701,1362673
1702,1288947
1703,1362676
1704,1362677
1705,1321718
1706,1362678
1707,1313531
1708,614399
1709,297730
1710,297731
1711,35587
1712,1288965
1713,1362691
1714,1288967
1715,2172612
1716,1297167
1717,256786
1718,297746
1719,297747
1720,2198295
1721,1321752
1722,1010456
1723,1321758
1724,747923
1725,740141
1726,1313582
1727,1321776
1728,1368280
1729,1289027
1730,1368281
1731,1305415
1732,262718
1733,1368283
1734,322383
1735,1313622
1736,1305431
1737,1297238
1738,1305437
1739,1305440
1740,1321828
1741,1362788
1742,232294
1743,1321833
1744,142191
1745,142192
1746,1305467
1747,1289095
1748,322444
1749,1543054
1750,1543055
1751,1543056
1752,1313684
1753,39667
1754,1362843
1755,1305502
1756,1297317
1757,1362854
1758,781224
1759,1051561
1760,1305514
1761,1297323
1762,1289133
1763,1362861
1764,1477549
1765,1313713
1766,262739
1767,1412019
1768,1313716
1769,1313717
1770,1321909
1771,805815
1772,1289145
1773,2141124
1774,1321925
1775,781254
1776,1289159
1777,1313742
1778,1305559
1779,1297375
1780,822239
1781,904161
1782,322534
1783,1313768
1784,1297386
1785,1297401
1786,1305594
1787,2132986
1788,232444
1789,1158142
1790,1158143
1791,1305600
1792,1289217
1793,1321985
1794,1321986
1795,740352
1796,232456
1797,1321999
1798,1297427
1799,2100243
1800,945176
1801,1305636
1802,928807
1803,620
1804,1313841
1805,109618
1806,674874
1807,1305659
1808,2149437
1809,756805
1810,1297482
1811,1289291
1812,117839
1813,117840
1814,748624
1815,322642
1816,1305689
1817,1002590
1818,2075744
1819,1289313
1820,1305698
1821,2075745
1822,2075746
1823,2075747
1824,1313896
1825,461931
1826,1297517
1827,232560
1828,232561
1829,322674
