Number,Smiles,LogPS,Classification,Reference [PMID],
127,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O) O)C3=CC=CC=C3 ,-1.4,CNSp+,17405866,
128,CNCCCC12CCC(C3=CC=CC=C31)C4= CC=CC=C24 ,-1.4,CNSp+,17405866,
129,CN1CCCCC1CCN2C3=CC=CC=C3SC4 =C2C=C(C=C4)SC ,-1.4,CNSp+,17405866,
130,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3 ,-1.4,CNSp+,17405866,
131,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42 ,-1.3,CNSp+,17405866,
132,CN(C)CC/C=C/1\C2=CC=CC=C2COC3 =CC=CC=C31 ,-1.3,CNSp+,17405866,
133,C1=CC=C(C=C1)CC(C(=O)O)N ,-1.3,CNSp+,18481317,
134,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C ,-1.3,CNSp+,18481317,
135,CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(CC4)C ,-1.3,CNSp+,17405866,
136,CN1CCN(CC1)C2=C3C=CC=CC3=NC4 =C(N2)C=C(C=C4)Cl ,-1.3,CNSp+,17405866,
137,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO ,-1.3,CNSp+,17405866,
138,CC1=CC(=NO1)C(=O)NNCC2=CC=CC =C2 ,-1.2,CNSp+,17405866,
139,CC(C)NCC(COC1=CC=CC2=CC=CC=C 21)O ,-1.2,CNSp+,14709630,
140,CN(C)CCCN1C2=CC=CC=C2SC3=C1C =C(C=C3)Cl ,-1.2,CNSp+,17405866,
141,C1CN(CCN1)C2=NC3=CC=CC=C3OC4 =C2C=C(C=C4)Cl ,-1.2,CNSp+,17405866,
142,CN1CCN(CC1)CC/C=C/2\C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C ,-1.2,CNSp+,17405866,
143,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)I ,-1.1,CNSp+,10993764,
144,C[C@]12CC[C@H]3[C@H]([C@@H]1_CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C ,-1.1,CNSp+,14709630,
145,CN(C)CCC=C1C2=CC=CC=C2CCC3=C C=CC=C31 ,-1.1,CNSp+,17405866,
146,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F ,-1,CNSp+,18481317,*******
147,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2 C=C(C=C3)Cl)O ,-1,CNSp+,18481317,
148,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1) C3=CC=CC=C3 ,-1,CNSp+,18481317,
149,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C ,-1,CNSp+,18481317,
150,CCCNC(=S)NC1=CC=CC=C1 ,-1,CNSp+,18481317,
151,CCCN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CSC ,-1,CNSp+,17405866,
152,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O ,-0.8,CNSp+,9466345,
153,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl ,-0.7,CNSp+,17405866,********
