Rank by Abolute Average Weight, Descriptor Name, Correlation to Regioselectivity, Absolute Average Weight, Variation in Absolute Weight
328,coulomb_energy_MS_sum,-,0.00543315,0.000797226
329,coulomb_energy_MS_mean,-,0.00543315,0.000797226
330,PA_2_X,+,0.00537292,0.00180987
331,NA_4_X,-,0.00529431,0.00173611
332,exchange_energy_D1_BS_mean,+,0.00528204,0.00217993
333,nn_energy_D1_BS_max,-,0.00523142,0.00169896
334,coulomb_energy_BS_norm,+,0.00523123,0.00181167
335,en_attraction_D2_norm,+,0.00522643,0.000748144
336,exchange_energy_D1_MS_norm,+,0.00521482,0.00109142
337,total_ene_D1_MS_min,+,0.00519106,0.00154814
338,pi_pi_mulliken_D1_BS_norm,+,0.00518551,0.00209587
339,sig_pi_mulliken_D1_MS_min,-,0.00510363,0.00247261
340,sig_pi_bo_BS_norm,+,0.00505637,0.0014077
341,sig_pi_bo_BS_min,+,0.00505637,0.0014077
342,sig_pi_bo_BS_max,+,0.00505637,0.0014077
343,sig_pi_bo_BS_sum,+,0.00505637,0.0014077
344,sig_pi_bo_BS_mean,+,0.00505637,0.0014077
345,atom_area_D2_sum,+,0.00504971,0.00442189
346,fukui_D1_max,+,0.00501269,0.00307949
347,electron_density_D1_max,-,0.00499066,0.00239805
348,sig_sig_mulliken_D1_MS_min,+,0.00495215,0.00133175
349,nucleophilicity_D2_sum,+,0.00494702,0.0017636
350,ne_energy_D1_BS_mean,+,0.00489944,0.00230025
351,repulsion_energy_D1_BS_mean,-,0.00487924,0.00235882
352,nn_energy_D1_BS_mean,-,0.00482027,0.0022688
353,electrophilicity_D1_norm,-,0.00481765,0.00293896
354,electronic_energy_D2_norm,+,0.00454974,0.000767849
355,fukui_D1_mean,-,0.00450257,0.00104137
356,sig_pi_mulliken_MS_norm,+,0.00439761,0.00198424
357,electron_density_D2_norm,+,0.00438382,0.000960997
358,electrophilicity_D1_sum,+,0.00431658,0.00317142
359,ne_energy_BS_norm,+,0.00428775,0.000932249
360,ne_energy_BS_min,-,0.00428775,0.000932249
361,ne_energy_BS_max,-,0.00428775,0.000932249
362,ne_energy_BS_sum,-,0.00428775,0.000932249
363,ne_energy_BS_mean,-,0.00428775,0.000932249
364,fukui_D2_norm,+,0.00427151,0.00252458
365,BASE_GROUP_In_InRing4,-,0.00425106,0.000330197
366,sig_pi_mulliken_MS_min,+,0.00408313,0.00139962
367,sig_pi_mulliken_MS_max,+,0.00408313,0.00139962
368,sig_pi_mulliken_MS_sum,+,0.00408313,0.00139962
369,sig_pi_mulliken_MS_mean,+,0.00408313,0.00139962
370,bond_degree_D1_MS_mean,-,0.00405808,0.00282361
371,BASE_GROUP_In_InRing6,+,0.00404301,0.00225049
372,pi_pi_mulliken_D1_MS_min,+,0.0039596,0.00326375
373,PA_1_P,+,0.00392757,0.0010417
374,sig_sig_bo_MS_norm,-,0.00392548,0.00143898
375,sig_sig_bo_MS_min,-,0.00392548,0.00143898
376,sig_sig_bo_MS_max,-,0.00392548,0.00143898
377,sig_sig_bo_MS_sum,-,0.00392548,0.00143898
378,sig_sig_bo_MS_mean,-,0.00392548,0.00143898
379,NA_1_P,+,0.00383721,0.00103602
380,atom_area_D1_sum,-,0.00383419,0.00371933
381,exchange_energy_D1_BS_norm,+,0.00379564,0.000426336
382,PA_3_X,-,0.00376454,0.00196583
383,total_ene_D1_BS_mean,+,0.00367937,0.00203363
384,sig_sig_bo_D1_MS_mean,+,0.00364466,0.0011999
385,pi_pi_mulliken_D1_BS_max,-,0.00361763,0.00298345
386,ee_repulsion_D2_mean,+,0.00360387,0.0017123
387,resonance_energy_D1_BS_max,+,0.0035882,0.00152091
388,NA_4_A,-,0.00358274,0.0023254
389,PA_2_P,+,0.00358185,0.0017178
390,ne_energy_D1_BS_min,+,0.00350599,0.00174992
391,bond_degree_MS_norm,+,0.00347119,0.00227737
