Rank by Abolute Average Weight, Descriptor Name, Correlation to Regioselectivity, Absolute Average Weight, Variation in Absolute Weight
213,sig_pi_mulliken_D1_MS_norm,-,0.0104925,0.00181649
214,sig_sig_mulliken_D1_MS_norm,-,0.0104869,0.00147674
215,fukui_D1_min,-,0.0104726,0.00257982
216,nucleophilicity_D1_mean,+,0.0104686,0.0036043
217,sig_sig_bo_D1_MS_norm,-,0.0103761,0.00127734
218,sig_sig_bo_BS_norm,+,0.0103742,0.000997011
219,sig_sig_bo_BS_min,+,0.0103742,0.000997011
220,sig_sig_bo_BS_max,+,0.0103742,0.000997011
221,sig_sig_bo_BS_sum,+,0.0103742,0.000997011
222,sig_sig_bo_BS_mean,+,0.0103742,0.000997011
223,NA_2_H,+,0.0103183,0.0027857
224,active_charge_D1_min,-,0.0102814,0.00356345
225,PA_3_P,+,0.0102408,0.0017203
226,en_attraction_D1_min,+,0.0101185,0.00255947
227,coulomb_energy_D1_MS_mean,-,0.0101144,0.00181621
228,electron_density_D2_sum,-,0.0100566,0.00156722
229,active_charge_D2_max,+,0.010055,0.00256377
230,NA_0_Hp,-,0.010013,0.00235432
231,atom_area_D1_max,-,0.00998146,0.00323614
232,exchange_energy_D1_BS_sum,-,0.00993253,0.00102493
233,pi_pi_mulliken_D1_BS_min,+,0.00991568,0.00250177
234,coulomb_energy_D1_MS_min,+,0.00989951,0.00140855
235,ne_energy_D1_MS_max,+,0.00987179,0.00195594
236,NA_3_P,+,0.00981055,0.00171697
237,repulsion_energy_D1_MS_min,-,0.00978317,0.00180236
238,nn_energy_D1_MS_min,-,0.00971984,0.00206436
239,resonance_energy_D1_BS_sum,-,0.0097111,0.000995515
240,sig_pi_bo_D1_MS_sum,+,0.00970958,0.00180765
241,en_attraction_D1_norm,-,0.00969158,0.00236085
242,fukui_D2_mean,+,0.00969146,0.00304939
243,fukui_D1_sum,+,0.00967048,0.00234804
244,PA_1_H,+,0.00960526,0.00290836
245,nucleophilicity_D2_norm,+,0.00956937,0.002965
246,resonance_energy_D1_MS_sum,-,0.00955624,0.00159895
247,pi_pi_mulliken_D1_MS_max,+,0.00954968,0.00299971
248,bond_degree_D1_MS_min,+,0.00954739,0.00462431
249,repulsion_energy_D1_MS_sum,-,0.00948605,0.00100674
250,coulomb_energy_D1_MS_norm,-,0.00934097,0.00164686
