ID,SMILES,LOAEL [mg/kg_bw/day]
509,ClC3C6(Cl)C4C2C1OC1C5C2C3(Cl)C(Cl)(C45)C6(Cl)Cl,0.7
511,O=C(OC(=O)c1cccc2)c12,1185
512,Nc1c(Cl)c(Cl)nc(C(=O)(O))c1Cl,60
514,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,2.5
519,Nc3ccc2cc1ccc(N)cc1nc2c3,47
525,CCC(=O)Nc1ccc(Cl)c(Cl)c1,20
529,Clc1cc(Cl)ccc1C2(Cn3ncnc3)OC(CCC)CO2,25
534,O=C(N)c(nccn1)c1,789
536,Oc1cc(O)c2C(=O)C(O)=C(c3cc(O)c(O)cc3)Oc2c1,2034
539,CCC(O)(C)C#C,46
542,CC(C(NCC)=C1)=CC(C1=O2)=C(C(C2=C3)=CC(C)=C3NCC)C(=CC=C4)C(=C4)C(=O)OCC,12
545,O=C(NS(=O)(=O)c1cccc2)c12,3602
546,c1cc(Cl)ccc1C2SC(=O)N(C(=O)NC3CCCCC3)C2C,160
548,n(c(nc(n1)NCC)NCC)c1Cl,5
549,HOS(=O)(=O)NC1CCCCC1,3602
552,O=C(OCC(C1OCC(C1O)O)O)CCCCCCCCCCC,6883
553,O(CC1O)C(C1O)C(O)COC(=O)CCCCCCCCCCCCCCCCC,7203
556,O=S(=O)(Nc(nc(cc1C)C)n1)c(ccc(N)c2)c2,33
564,CCNc1nc(NC(C)(C)C)nc(SC)n1,15
565,Oc(c(cc(c1)C(C)(C)C)Cl)c1,216
568,C(C(Cl)Cl)(Cl)Cl,108
572,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,100
580,CCN(CC)C(=O)SCc1ccc(Cl)cc1,5
581,COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,32
582,N(C(=S)SSC(N(C)C)=S)(C)C,15
583,c12OC(CCCC(C)CCCC(C)CCCC(C)C)(C)CCc1c(C)c(OC(=O)C)c(C)c2C,2000
585,Cc1cc(N)ccc1NOS(O)(=O)=O,184
586,C(Br)(C(Br)(Br)Br)C1C(C)(C)C1C(=O)OC(C(#N))c2cccc(Oc3ccccc3)c2,3
600,O=C(O)COc(c(cc(c1Cl)Cl)Cl)c1,10
603,FC(F)(F)C(=CC(N(=O)=O)=C1N(C(C)C)C(C)C)C=C1N(=O)=O,40
604,Cc1cc(C)c(N)cc1C,63
608,CC(O)(C(O)C(O1)C)CC1(C)OC(C(C)O2)C(C(O)C2(C)OC(C(C)C(O)CC(=O)OC(CC)C3COC(C(OC)C4OC)OC(C)C4O)C(CC=O)CC(C)C(=O)C=CC(=C3)C)N(C)C,500
