"","StaticF","SemiF","ECFP6","DFS8","ECFP6+ToxF"
"CHEMBL1963754",0.80146407569312,0.762937451153071,0.736920960910963,0.724948995446137,0.748755014582218
"CHEMBL1738424",0.859758041611138,0.94858576107716,0.935135395818021,0.926855161385057,0.944809761750676
"CHEMBL3215192",0.742969293391794,0.800498451501333,0.780273018355984,0.729698120922035,0.79082510231328
"CHEMBL1963720",0.721498166835878,0.730265674526631,0.687829682511867,0.698769995358818,0.70058819300136
"CHEMBL1963728",0.753299950149681,0.774425366487361,0.736621791655484,0.740182956830531,0.750132424229459
"CHEMBL1614171",0.725977337055393,0.80154865203739,0.80630205711662,0.756755706276413,0.786201617801939
"CHEMBL1963765",0.7531306813628,0.793493666946274,0.774411400455369,0.748911623524428,0.787745150979405
"CHEMBL1963710",0.7340264902535,0.770645262860377,0.762486870138496,0.729310810209104,0.780417386506482
"CHEMBL1963834",0.74597115733977,0.78120397743208,0.738327700205437,0.711747529802274,0.752970945500143
"CHEMBL1963697",0.75770743055489,0.77502730378499,0.756582374447745,0.719531217877861,0.765767571808568
"CHEMBL3214929",0.722859102994975,0.760728611471363,0.745496721703924,0.718930916388924,0.739984599213488
"CHEMBL1963791",0.843794326837613,0.838416535342227,0.8329307568438,0.817195660821583,0.824293679508323
"CHEMBL1963729",0.690001807587257,0.674522056100357,0.644771250137118,0.682835055988754,0.664206462680374
"CHEMBL1963733",0.768073953449713,0.813272043684793,0.763106169052381,0.767934607786706,0.776692987541562
"CHEMBL1737860",0.483192993341739,0.562184524715027,0.567308297417066,0.539804354826939,0.5763328108819
"CHEMBL1963763",0.700071668306962,0.76758557008557,0.772967112967113,0.747816114360232,0.781321279997751
"CHEMBL1963688",0.694785806566134,0.749238647353217,0.72678933741875,0.722245268081476,0.737058690934654
"CHEMBL1964022",0.479682257606234,0.536214661580159,0.502185115123712,0.485420565793373,0.489038100587808
"CHEMBL2114926",0.65969238200908,0.733217753640654,0.704891995638163,0.696469376600754,0.718364152484259
"CHEMBL1963793",0.748746247164085,0.757727738422622,0.75331468415685,0.755483534608685,0.747927059259252
"CHEMBL1963708",0.738031972374893,0.774568810219883,0.76388658764956,0.744243853683385,0.762381072369076
"CHEMBL1738494",0.567765492464845,0.666029886103892,0.620361804913146,0.721132696063316,0.688363703997376
"CHEMBL1963737",0.832330987885124,0.784241860990667,0.77716406952467,0.755166320513381,0.765680479201658
"CHEMBL1963833",0.821907578746592,0.841403715140559,0.852570908500745,0.823526887148721,0.83130351946067
"CHEMBL1963745",0.838866304179589,0.874598304917487,0.840113533475191,0.854599934451239,0.868251550245636
"CHEMBL1963724",0.737801566847071,0.779702615618927,0.75484604671196,0.741284040531833,0.743028632162791
"CHEMBL1738639",0.532076809843442,0.556603796412707,0.549679951573544,0.564599558496007,0.539260002652822
"CHEMBL3214944",0.6803512212634,0.747690864312165,0.747383792222457,0.730796000969876,0.742154397859845
"CHEMBL1963938",0.623517397204304,0.646820276598102,0.602930719278325,0.630705708685109,0.625925315078141
"CHEMBL1963828",0.768398210393422,0.836258594533757,0.791899056166195,0.816313590866614,0.792846175828842
"CHEMBL1963808",0.770071836228862,0.807161200626466,0.752301958868922,0.771002436261747,0.777669953532598
"CHEMBL1909172",0.951067026537201,0.949776304635794,0.949322427831746,0.930889981917897,0.95250017762715
"CHEMBL1738369",0.710456850140131,0.741244492131831,0.72567625156045,0.719847388681686,0.727956555559191
"CHEMBL1963812",0.749243982879489,0.778270758175014,0.76441176087578,0.748041289954473,0.769645962744852
"CHEMBL1909182",0.757696204270186,0.885370454327753,0.818881145335962,0.812336978553463,0.838774888725236
"CHEMBL1963794",0.787407492159466,0.80775525266498,0.825945365889856,0.789603888583363,0.82288355285342
"CHEMBL1963836",0.720424544917546,0.733683846217134,0.714439989154909,0.714571669810659,0.730615698679884
"CHEMBL1964105",0.687779915543944,0.720806612634484,0.733211354746333,0.685064133007349,0.723255290168731
"CHEMBL1963809",0.765225466759653,0.777089023179283,0.771387045494391,0.782313697059266,0.769946106975379
"CHEMBL1738495",0.344918160250678,0.513680528939607,0.519820536385204,0.593834084074802,0.436633710970716
"CHEMBL1963800",0.759170746361179,0.774207789793284,0.778616380401199,0.759160641748793,0.785312471751965
"CHEMBL1963748",0.76997507629673,0.795126636251368,0.779130537793272,0.789501167022638,0.788000308297953
