"","StaticF: fold0","StaticF: fold1","StaticF: fold2","SemiF: fold0","SemiF: fold1","SemiF: fold2","ECFP6: fold0","ECFP6: fold1","ECFP6: fold2","DFS8: fold0","DFS8: fold1","DFS8: fold2","ECFP6+ToxF: fold0","ECFP6+ToxF: fold1","ECFP6+ToxF: fold2"
"CHEMBL2354206",0.489119894709326,0.106168831168831,0.504858014368884,0.289902641218431,0.333333333333333,0.501936026936027,0.328535122285122,0.147281639928699,0.364669813860378,0.444526201455549,0.181547619047619,0.469154456654457,0.29131188012767,0.559294871794872,0.424944347657762
"CHEMBL1794355",0.930126837379901,0.96465960161342,0.938384682358706,0.977541046183838,0.968687700843151,0.941291734159346,0.907467196902142,0.974210842431321,0.937613591993407,0.974403481126094,0.968778664186863,0.931649389543343,0.911460106513565,0.973582085405161,0.931738324504101
"CHEMBL3215092",0.74134295670099,0.70943650713185,0.528188771680429,0.785215699147397,0.698139250627465,0.566819447335652,0.779987608434377,0.669888831772096,0.639015902192445,0.699992227911948,0.575045194305842,0.526530160133457,0.73879569654406,0.635495644256987,0.656449514790789
"CHEMBL2114830",0.812926323673464,0.780158542441174,0.857507018935753,0.809621931280697,0.89519382387401,0.932847455149015,0.857112654932191,0.88483286525514,0.828810806628808,0.837504571179672,0.885277024959577,0.831281905647677,0.821514570956471,0.837285558364875,0.810151262977986
"CHEMBL1613864",0.925676278018049,0.9884181321077,0.965625110094569,0.938040631615464,0.982985230358163,0.963527930519273,0.975095729019479,0.990103160435021,0.986711410188522,0.957275668364834,0.977934409778214,0.961864579476651,0.956888474187546,0.980420523526646,0.981397404831937
"CHEMBL2114764",0.719051700914908,0.574898957408473,0.94682490835661,0.691137659097316,0.718621529874985,0.829457685617528,0.712559984052398,0.731617959676442,0.930535140341967,0.717276770069045,0.56123846443339,0.808990013877065,0.747098516749194,0.74625973630466,0.895963623552219
"CHEMBL3214851",0.327548008921251,0.250364503943555,0.20294635573763,0.266740888036473,0.235925830407564,0.1651186621732,0.315952565224786,0.203382102851395,0.136385914622813,0.330508313691126,0.246428559470691,0.173764163129803,0.390068024340241,0.301001148867628,0.222550237105643
"CHEMBL1614290",0.947531840954332,0.958460112615647,0.976640364039031,0.942223695635301,0.977109064930171,0.977563670149396,0.928947535408427,0.976488196180054,0.97645901973508,0.924288332696017,0.983928240725355,0.995993209079442,0.928757799628135,0.958443752218878,0.981158197360219
"CHEMBL1964106",0.611314027069812,0.707550403327588,0.615919437220331,0.570586341457199,0.678311139730463,0.560459972548833,0.566385026928248,0.676440651972284,0.531412069157928,0.590987648209773,0.719210882555049,0.463791987053651,0.583835798414206,0.697691522946193,0.509757149249598
"CHEMBL1794522",0.512567639290758,0.562148230283527,0.63681983079486,0.603066511753388,0.612737439842229,0.648577405180156,0.577581664868982,0.577460251419548,0.727606308496023,0.672394000017161,0.581385683137271,0.585234047994211,0.595730388411288,0.556690861631396,0.769678624396597
"CHEMBL1614344",0.658739850779513,0.467049407198286,0.719283678142441,0.743007181027608,0.6283178882099,0.879676300618288,0.727045276378835,0.66498183039123,0.862201687964754,0.766279713720048,0.593176479826635,0.892374085417221,0.744340215983913,0.718811855020263,0.867072748746272
"CHEMBL1243966",0.866064149493277,0.60282022041963,0.858758503401361,0.916979995458913,0.771437186260377,0.859948979591837,0.839320209053864,0.623508417635109,0.778231292517007,0.913013881379099,0.6576270673107,0.562611198325484,0.821916805405285,0.566814034258982,0.958758503401361
"CHEMBL1614105",0.955708647314918,0.975166470203296,0.966126571645801,0.982522703626213,0.994633269597942,0.984866095965979,0.967608280142897,0.984697541072604,0.979144241246064,0.979172749807522,0.995598355118778,0.986775370350934,0.967142999158937,0.994660968927992,0.98329012381775
"CHEMBL1794573",0.990155329775878,0.963295437137931,0.991516518896804,0.995758751071897,0.969732483610902,0.993726318138913,0.993042544071399,0.972321815363927,0.989138919701145,0.99009403204836,0.96584646843078,0.993785136689274,0.997612942118415,0.978473665386991,0.992465690627432
"CHEMBL1614167",0.833348142442025,0.76721969215121,0.848916554227159,0.840880546458837,0.847773458732433,0.825303556328909,0.785134463448838,0.808785088653554,0.807095406518773,0.835261687118237,0.797714469294644,0.847213559334993,0.814628053012861,0.814660528324559,0.856866145905248
"CHEMBL1738632",0.416424263929156,0.20060229308224,0.244906835994877,0.504892729465291,0.390358816128652,0.304853190179531,0.392959447420207,0.259687095520258,0.357434162177117,0.494928161579947,0.304435432328897,0.260200862089872,0.429779615078503,0.400918552882947,0.377727648766206
"CHEMBL1738079",0.930741729002558,0.970872472713295,0.955730865189137,0.945491569617711,0.98562501935051,0.99499708082887,0.954596978277468,0.96877488049131,0.987589489955347,0.953225405050387,0.957724182910066,0.982723823397562,0.941883637514616,0.990503352770374,0.970091270177699
