training set:,,,,,,,,,,,,,,,,,,
ordera,logBB_exp,logBB_mlr,logBB_svm,logBB_ann,HDon_N,XlogP,TPSA,RDF_PiChg_13,RDF_PiChg_33,RDF_PiChg_46,RDF_PiChg_58,RDF_TotChg_110,RDF_TotChg_121,RDF_SigEN_25,RDF_PiEN_37,RDF_PiEN_56,RDF_PiEN_93,RDF_Polariz_38
93,0.48,0.5042,0.4523,0.634,0,5.55325,33.2,-0.01734,1.42E-05,-0.002294,-0.000949,0,0,2266.1,327.943,66.964,0,1413.65
95,0.74,0.2555,0.2872,0.397,0,5.56443,42.55,0.0362718,-0.003417,0.0070958,-0.002251,0,0,1758.69,263.304,116.745,0,1316.03
97,0.3,0.7129,0.6773,0.706,0,2.37783,9.23,0,0,0,0,0,0,1087,46.9199,0,0,64.2806
100,0.63,0.3851,0.3514,0.379,1,3.82442,45.15,-0.003566,-1.56E-07,1.73E-05,0,0,0,1990.5,275.665,65.2451,0,951.847
101,0.16,-0.1171,-0.0379,0.149,0,2.5862,39.68,-0.024793,5.00E-07,0,0,0.0243106,0.0335055,1830.27,84.3237,7.13578,1.00731,720.534
102,0.36,0.4429,0.4324,0.557,1,4.61568,21.26,-0.000404,-1.57E-08,6.43E-05,-1.30E-05,0.0034809,0,1115.6,181.735,17.019,28.2979,536.743
103,-0.5975,-0.3094,-0.2936,-0.319,1,-0.606968,78.87,-0.035356,-0.002304,0.0318032,0,0,0,1300.12,3.75461,0.504515,0,290.627
106,-0.17,-0.0975,-0.1109,-0.213,0,3.44306,63.64,-0.292282,-8.02E-06,0.0135787,0,0.0001056,-0.001525,844.784,127.731,0,0,246.749
109,-0.29,-0.3725,-0.3728,-0.49,0,1.96923,63.91,-0.0237,0.0014908,0.0043498,0.0454196,-8.64E-05,0,1708.83,294.305,135.805,17.7757,723.97
111,-0.67,-0.7277,-0.7522,-0.922,0,1.65367,82.17,-0.028272,-0.00183,0.0003849,-0.001025,0.0069114,-0.002577,2484.46,208.692,45.1469,71.1443,1355.71
113,0.2075,0.4175,0.4007,0.595,1,5.41982,41.05,-0.021026,4.27E-06,0.0046857,-0.00104,0.0020016,0.0038391,2034.2,307.696,118.935,21.9628,1381.75
116,0.06,-0.057,-0.1396,0.0157,0,2.35408,78.49,-0.329286,0.0152881,0.007583,0.0231645,0,0,2208.3,314.884,133.278,0,1285.9
117,-0.1,-0.0299,0.0165,-0.112,0,2.04866,23.55,-0.003298,-0.003238,0.0048826,-0.000259,0,0,743.949,184.706,48.3238,0,404.034
118,0.176,-0.0226,0.0097,0.0183,2,2.86907,59.14,-0.005772,0.0004557,-0.000937,0.0031802,1.37E-06,0.0015371,1520.49,280.692,125.479,22.6426,789.913
119,1.38,0.8849,0.8687,0.931,0,4.22166,6.48,-2.83E-05,-6.92E-08,-1.21E-05,0,0.0031144,0,1207.72,42.0292,0,0.0010164,407.16
121,0.64,0.9762,0.9086,0.907,2,4.88025,24.06,-0.002036,0.0002231,-2.09E-05,0,0,0,1365.26,84.7973,0,0,571.817
122,0.98,0.8577,0.8411,0.924,0,4.26535,6.48,-3.82E-06,-1.26E-06,6.68E-07,0,0,0,1417.72,0.0021885,0,0,970.264
123,-0.4,-0.2432,-0.2114,-0.171,0,0.321868,23.79,-0.031509,-0.000527,0,0,0,0,77.2343,0.713314,0,0,0.0019361
124,0.945,0.4828,0.4555,0.432,1,2.16136,12.03,-1.44E-06,0,0,0,0,0,519.053,0.0010778,0,0,198.166
125,0.9067,0.898,0.9178,1.05,0,3.95206,6.48,0.0015082,-2.62E-05,0.000529,-4.69E-05,0,0,1613.72,117.712,128.108,0,1165.86
126,1.1333,0.8878,0.8981,0.927,1,3.70341,15.27,0.0011796,-2.62E-05,0.0005018,3.45E-06,0,0,1528.87,117.712,133.124,0,1069.32
127,0.8887,0.8801,0.9103,1,0,4.93148,3.24,-5.28E-05,-8.59E-06,-5.61E-06,1.05E-06,0,0,1557.95,124.215,107.708,0,1408.49
128,0.56,0.9335,0.9086,0.986,0,4.11878,3.24,-2.76E-07,0,0,0,0,0,1410.77,3.57341,0,0,854.501
130,0.65,0.496,0.4533,0.366,1,1.88205,12.03,-9.69E-05,0,0,0,0,0,756.928,41.1779,0,0,285.1
131,1.06,0.8242,0.8352,0.591,2,3.3248,29.26,0.0015082,-2.62E-05,3.19E-05,1.94E-06,0,0,1505.75,117.712,150.913,0,993.169
133,-0.04,-0.4684,-0.411,-0.397,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0
134,-0.134,-0.2552,-0.22,-0.2,0,0.22533,26.3,-0.014944,0,0,0,0,0,167.273,0,0,0,18.7515
135,0.003,-0.166,-0.1336,-0.0681,0,0.653219,26.3,-0.014912,0,0,0,0,0,248.161,0,0,0,34.3758
136,0.45,-0.0015,0.0233,0.0281,0,1.30537,26.3,-0.014905,0,0,0,0,0,434.683,0,0,0,79.978
138,0.554,0.1035,0.1309,0.0299,0,2.07172,26.3,-0.014908,0,0,0,0,0,485.723,0,0,0,104.88
141,-0.5,-0.3444,-0.3032,-0.345,0,1.44311,63.6,-0.02722,0.0164199,-0.003178,0,0,0,1087.88,147.875,0,0,228.411
142,0.0793,0.2115,0.2094,0.211,1,1.80513,44.81,-0.029051,-0.000546,-0.004595,-0.004419,-2.62E-07,0,1516.88,104.755,51.6984,0,708.455
143,1,0.528,0.5238,0.401,1,3.39096,44.81,-0.023078,-0.002375,-0.005842,-0.015829,6.43E-05,5.05E-08,1867.45,224.074,153.971,2.41221,805.306
144,-0.06,0.1375,0.1124,-0.0303,0,1.80189,49.77,-0.014545,2.21E-06,-0.000122,7.30E-06,0.0001769,0,1817.37,108.414,14.5728,0.173126,593.183
146,0.55,0.0214,0.0096,-0.0965,2,1.91332,52.32,-0.017118,-5.33E-07,0.0001383,0.0028947,0,0,927.465,99.1476,8.67036,0,325.038
148,0.05,0.1091,0.0816,0.111,2,1.87247,55.56,-0.017103,-5.33E-07,0.0001383,0.0028933,0,0,1266.51,99.1622,8.66981,0,460.606
