training set:,,,,,,,,,,,,,,
ordera,logBB_exp,logBB_mlr,HDon_N,XlogP,TPSA,Dipole,NAtoms,2DACorr_SigChg_9,2DACorr_PiChg_4,2DACorr_PiChg_5,2DACorr_TotChg_1,2DACorr_TotChg_11,2DACorr_PiEN_8,2DACorr_PiEN_10
136,0.45,0.0348,0,1.30537,26.3,1.66024,20,0,0,0,0.416127,0,0,0
138,0.554,0.1289,0,2.07172,26.3,1.66747,23,0,0,0,0.418389,0,0,0
141,-0.5,-0.4327,0,1.44311,63.6,2.19566,21,0,-0.014211,0.0175279,0.836384,0,0,0
142,0.0793,0.0316,1,1.80513,44.81,2.50816,41,0.133243,-0.010728,-0.003038,0.746408,-1.43E-05,54.5528,0
143,1,0.2227,1,3.39096,44.81,1.90192,48,0.120257,-0.025274,0.0048654,0.743388,0.0578113,355.649,172.073
144,-0.06,-0.2087,0,1.80189,49.77,2.24887,44,0.17713,0.0007068,-0.000154,0.681309,0.0221916,9.38299,18.9047
146,0.55,-0.0175,2,1.91332,52.32,3.05386,26,0.0078146,-0.014258,0.0122787,0.527415,0,0,0
148,0.05,0.0862,2,1.87247,55.56,2.51779,37,-0.006505,-0.014252,0.0122732,0.617236,-0.008094,17.6602,6.18202
150,0.36,0.2169,0,1.31968,9.23,1.73178,18,0,0,0,0.145211,0,0,0
151,0.22,0.2842,0,1.74757,9.23,1.68004,21,0,0,0,0.145811,0,0,0
152,0.64,0.3729,0,2.542,25.36,2.42616,42,0.0361149,-0.002861,-0.000632,0.4108,0,167.23,0
153,0.399,-0.0102,0,1.12086,26.3,1.65122,17,0,0,0,0.410483,0,0,0
155,-0.623,-0.0644,0,4.66453,63.95,4.18348,71,0.043355,-0.006127,0.0007787,1.01651,0.070986,71.1995,255.978
157,0.1,0.1613,0,5.08177,42.35,1.71594,49,0.0535148,0.0013193,-0.003664,0.473752,0.0569704,114.051,203.644
158,-0.46,-0.0099,0,2.58439,45.59,1.48066,48,-0.008625,0.0013737,-0.003676,0.554055,0.0583085,134.755,203.584
160,-2,-1.5239,2,1.79666,88.5,9.43372,53,0.117218,-0.157424,-0.132309,1.38656,0.0322664,512.733,534.447
162,0.12,0.1429,0,1.24594,9.23,1.78073,11,0,-0.004592,0.0054301,0.132221,0,0,0
163,-0.4,-0.1476,2,1.12319,70.59,5.94361,45,-0.014922,-0.013388,0.0210651,0.739989,0.168764,52.2481,36.408
165,0.64,0.1668,1,3.04047,41.49,3.51737,40,0.0716135,-0.000896,-0.000688,0.41472,0.0184684,81.6044,8.97144
167,-0.9963,-0.2568,3,0.46002,84.58,5.30858,41,-0.032835,0.0025104,-0.007082,0.770777,0.145272,113.802,21.6184
168,-0.0033,0.156,0,0.865642,9.23,1.58111,15,0,0,0,0.145378,0,0,0
169,-0.046,-0.1764,2,1.24135,52.32,4.69778,23,0,-0.008658,0.0011642,0.538708,0,0,0
170,-0.46,0.1406,1,2.34048,41.57,2.80084,47,0.0143178,-0.000281,0.0032394,0.598951,-0.073371,161.371,130.018
172,0.69,0.1186,1,3.80426,37.39,2.4296,51,0.0365924,-0.003025,-0.000221,0.489533,-0.033053,261.535,342.909
173,-0.02,0.1283,0,2.14663,32.7,3.37308,41,0.0096701,-0.000281,-0.000547,0.391537,-0.006602,36.504,5.49931
174,0.924,1.0895,0,7.07551,12.47,2.29035,57,0.0962012,5.84E-05,-0.000696,0.275417,0.045219,746.364,193.849
175,0.61,0.1146,1,1.80434,47.56,2.67851,41,0.0736856,-0.003316,-0.005173,0.647365,0.0464198,164.783,0
