,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
50,39365,CHEMBL76,CHEMBL713562,6579,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
51,39366,CHEMBL30793,CHEMBL713563,43897,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
52,39367,CHEMBL284191,CHEMBL713563,43753,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
53,39368,CHEMBL30414,CHEMBL713563,43921,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
54,39369,CHEMBL283599,CHEMBL713563,43503,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
55,39370,CHEMBL30438,CHEMBL713563,44076,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
56,39371,CHEMBL419510,CHEMBL713563,150396,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
57,39372,CHEMBL31000,CHEMBL713563,43896,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
58,39373,CHEMBL418957,CHEMBL713563,150975,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
59,39374,CHEMBL93478,CHEMBL713563,150876,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
60,39375,CHEMBL76,CHEMBL713563,6579,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
