,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
24,180355,CHEMBL601719,CHEMBL3991682,602271,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
25,180356,CHEMBL403989,CHEMBL3991682,442167,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
26,180357,CHEMBL283120,CHEMBL3991682,30847,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
27,180358,CHEMBL180022,CHEMBL3991682,299120,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
28,180359,CHEMBL502835,CHEMBL3991682,522730,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
29,180360,CHEMBL483158,CHEMBL3991682,520053,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
30,180361,CHEMBL587723,CHEMBL3991682,586744,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
31,180362,CHEMBL576982,CHEMBL3991682,573133,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
32,180363,CHEMBL254760,CHEMBL3991682,426232,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
33,180364,CHEMBL2220486,CHEMBL3991682,1450297,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
34,180365,CHEMBL598797,CHEMBL3991682,603809,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
35,180366,CHEMBL3353410,CHEMBL3991682,1817518,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
36,180367,CHEMBL2048872,CHEMBL3991682,1352309,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
37,180368,CHEMBL3544932,CHEMBL3991682,1926781,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
38,180369,CHEMBL608533,CHEMBL3991682,608601,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
