,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
50,CHEMBL3347555,CHEMBL3391326,1796986,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,IC50,Not Active,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@@H]1N[C@H]2CC(C)(C)[C@@H]1c3c2cccc3c4cccnc4
51,CHEMBL3347554,CHEMBL3391326,1796985,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,9000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@@H]1N[C@H]2CC(C)(C)[C@@H]1c3c2cccc3c4ccc(Cl)c(Cl)c4
52,CHEMBL3347551,CHEMBL3391326,1796982,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,38000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1Cc4cccs4
53,CHEMBL3347550,CHEMBL3391326,1796981,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,20000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CCCCCN1[C@@H](CC(=C)C)[C@H]2c3c(Br)cccc3[C@@H]1CC2(C)C
54,CHEMBL3347549,CHEMBL3391326,1796980,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,68000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1Cc4cccc(F)c4
55,CHEMBL3347543,CHEMBL3391326,1796974,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,48000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1Cc4cc(C)on4
56,CHEMBL3347542,CHEMBL3391326,1796973,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,88000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1Cc4ccc5OCOc5c4
57,CHEMBL3347525,CHEMBL3391326,1796956,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1Cc4c[nH]c5ccccc45
58,CHEMBL3347524,CHEMBL3391326,1796955,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1Cc4ccnc5ccccc45
59,CHEMBL3347503,CHEMBL3391326,1796934,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,68000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@H]1[C@H]2c3ccccc3[C@H](CC2(C)C)N1Cc4cccc(F)c4
