,Output_Target,Input_feature,Models,Hyperparameters_Used,Model_RunTime_min,Dataset_size,Train_size,Val_size,Test_size,Train_positive_size,Val_positive_size,Test_positive_size,Accuracy_Val,True_Positive_Val,True_Negative_Val,False_Positive_Val,False_Negative_Val,Cohen_Score_Val,Precision_0_Val,Recall_0_Val,F1 Score_0_Val,AUC_output_0_Val,Precision_1_Val,Recall_1_Val,F1_Score_1_Val,AUC_output_1_Val,Log_Loss_Val,Accuracy_Test,True_Positive_Test,True_Negative_Test,False_Positive_Test,False_Negative_Test,Cohen_Score_Test,Precision_0_Test,Recall_0_Test,F1_Score_0_Test,AUC_output_0_Test,Precision_1_Test,Recall_1_Test,F1 Score_1_Test,AUC_output_1_Test,Log_Loss_Test
90,2C9_inh,avalon,RandomForestClassifier_default,"{'bootstrap': [True], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [42], 'verbose': [0], 'warm_start': [False]}",0.019,14706,11764,2942,0,3981,996,0,0.782,560,1741,205,436,0.484,0.8,0.895,0.845,0.728,0.732,0.562,0.636,0.728,0.7120000000000001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,2C9_inh,fcfp4,MLPClassifier_default,"{'activation': ['relu'], 'alpha': [0.0001], 'batch_size': ['auto'], 'beta_1': [0.9], 'beta_2': [0.999], 'early_stopping': [False], 'epsilon': [1e-08], 'hidden_layer_sizes': [(100,)], 'learning_rate': ['constant'], 'learning_rate_init': [0.001], 'max_iter': [200], 'momentum': [0.9], 'n_iter_no_change': [10], 'nesterovs_momentum': [True], 'power_t': [0.5], 'random_state': [42], 'shuffle': [True], 'solver': ['adam'], 'tol': [0.0001], 'validation_fraction': [0.1], 'verbose': [False], 'warm_start': [False]}",0.628,14706,11764,2942,0,3981,996,0,0.7979999999999999,662,1687,259,334,0.542,0.835,0.867,0.851,0.7659999999999999,0.7190000000000001,0.665,0.691,0.7659999999999999,0.973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,3A4_inh,hashtt,XGBClassifier_default,"{'base_score': [0.5], 'booster': ['gbtree'], 'colsample_bylevel': [1], 'colsample_bynode': [1], 'colsample_bytree': [1], 'gamma': [0], 'learning_rate': [0.1], 'max_delta_step': [0], 'max_depth': [3], 'min_child_weight': [1], 'missing': [None], 'n_estimators': [100], 'n_jobs': [1], 'nthread': [None], 'objective': ['binary:logistic'], 'random_state': [42], 'reg_alpha': [0], 'reg_lambda': [1], 'scale_pos_weight': [1], 'seed': [None], 'silent': [None], 'subsample': [1], 'verbosity': [1]}",0.376,18558,14846,3712,0,5364,1341,0,0.7759999999999999,707,2172,199,634,0.477,0.774,0.916,0.8390000000000001,0.722,0.78,0.527,0.629,0.722,0.484,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,2C9_inh,lfcfp6,RandomForestClassifier_default,"{'bootstrap': [True], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [42], 'verbose': [0], 'warm_start': [False]}",0.175,14706,11764,2942,0,3981,996,0,0.77,473,1793,153,523,0.436,0.774,0.921,0.841,0.698,0.7559999999999999,0.475,0.583,0.698,0.8759999999999999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,2C19_inh,laval,XGBClassifier_default,"{'base_score': [0.5], 'booster': ['gbtree'], 'colsample_bylevel': [1], 'colsample_bynode': [1], 'colsample_bytree': [1], 'gamma': [0], 'learning_rate': [0.1], 'max_delta_step': [0], 'max_depth': [3], 'min_child_weight': [1], 'missing': [None], 'n_estimators': [100], 'n_jobs': [1], 'nthread': [None], 'objective': ['binary:logistic'], 'random_state': [42], 'reg_alpha': [0], 'reg_lambda': [1], 'scale_pos_weight': [1], 'seed': [None], 'silent': [None], 'subsample': [1], 'verbosity': [1]}",4.7010000000000005,14572,11657,2915,0,4831,1208,0,0.7809999999999999,914,1364,343,294,0.552,0.823,0.799,0.8109999999999999,0.778,0.727,0.757,0.742,0.778,0.472,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,2C9_inh,lfcfp6,MLPClassifier_default,"{'activation': ['relu'], 'alpha': [0.0001], 'batch_size': ['auto'], 'beta_1': [0.9], 'beta_2': [0.999], 'early_stopping': [False], 'epsilon': [1e-08], 'hidden_layer_sizes': [(100,)], 'learning_rate': ['constant'], 'learning_rate_init': [0.001], 'max_iter': [200], 'momentum': [0.9], 'n_iter_no_change': [10], 'nesterovs_momentum': [True], 'power_t': [0.5], 'random_state': [42], 'shuffle': [True], 'solver': ['adam'], 'tol': [0.0001], 'validation_fraction': [0.1], 'verbose': [False], 'warm_start': [False]}",8.199,14706,11764,2942,0,3981,996,0,0.7959999999999999,641,1701,245,355,0.532,0.8270000000000001,0.8740000000000001,0.85,0.759,0.723,0.644,0.6809999999999999,0.759,1.128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,2C19_inh,hashtt,MLPClassifier_default,"{'activation': ['relu'], 'alpha': [0.0001], 'batch_size': ['auto'], 'beta_1': [0.9], 'beta_2': [0.999], 'early_stopping': [False], 'epsilon': [1e-08], 'hidden_layer_sizes': [(100,)], 'learning_rate': ['constant'], 'learning_rate_init': [0.001], 'max_iter': [200], 'momentum': [0.9], 'n_iter_no_change': [10], 'nesterovs_momentum': [True], 'power_t': [0.5], 'random_state': [42], 'shuffle': [True], 'solver': ['adam'], 'tol': [0.0001], 'validation_fraction': [0.1], 'verbose': [False], 'warm_start': [False]}",0.439,14572,11657,2915,0,4831,1208,0,0.782,877,1402,305,331,0.5489999999999999,0.809,0.821,0.815,0.774,0.742,0.726,0.7340000000000001,0.774,0.949,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,2C19_inh,ecfp6,RandomForestClassifier_default,"{'bootstrap': [True], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [42], 'verbose': [0], 'warm_start': [False]}",0.015,14572,11657,2915,0,4831,1208,0,0.76,751,1464,243,457,0.4920000000000001,0.762,0.858,0.807,0.74,0.7559999999999999,0.622,0.682,0.74,0.6679999999999999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,3A4_inh,lecfp4,RandomForestClassifier_default,"{'bootstrap': [True], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [42], 'verbose': [0], 'warm_start': [False]}",0.269,18558,14846,3712,0,5364,1341,0,0.787,737,2184,187,604,0.505,0.7829999999999999,0.921,0.847,0.735,0.7979999999999999,0.55,0.6509999999999999,0.735,1.172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,2C19_inh,ecfp6_rdkDes_avalon_hashap,MLPClassifier_default,"{'activation': ['relu'], 'alpha': [0.0001], 'batch_size': ['auto'], 'beta_1': [0.9], 'beta_2': [0.999], 'early_stopping': [False], 'epsilon': [1e-08], 'hidden_layer_sizes': [(100,)], 'learning_rate': ['constant'], 'learning_rate_init': [0.001], 'max_iter': [200], 'momentum': [0.9], 'n_iter_no_change': [10], 'nesterovs_momentum': [True], 'power_t': [0.5], 'random_state': [42], 'shuffle': [True], 'solver': ['adam'], 'tol': [0.0001], 'validation_fraction': [0.1], 'verbose': [False], 'warm_start': [False]}",1.079,14572,11657,2915,0,4831,1208,0,0.7959999999999999,918,1403,304,290,0.581,0.8290000000000001,0.8220000000000001,0.825,0.7909999999999999,0.7509999999999999,0.76,0.7559999999999999,0.7909999999999999,1.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
